htrc-id,pubcity,pubyear,title,oclc,language
None,[Madrid] ,1994,Robinson Crusoe,433541710,None
None,[Madrid] ,2000,Robinson Crusoe,45136179,None
None,[Madrid] ,2000,Robinson Crusoe,45292442,None
None,[Madrid] ,2003,Robinson Crusoe,433395505,None
None,[Madrid] ,2004,Robinson Crusoe,433426206,None
None,[Madrid] ,1984,Robinson Crusoe,1028322234,None
None,[Madrid] ,1927,Robinson Crusoe,927742642,None
None,[Madrid] ,1957,Robinson Crusoe,433850808,None
None,[Madrid] ,1963,Robinson Crusoe,433850911,None
None,[Madrid] ,1974,Robinson Crusoe,433851190,None
None,[Madrid] ,2001,Robinson Crusoe,804848027,None
None,[Madrid] ,2001,Robinson Crusoe,804848027,None
None,[Madrid] ,1982,Robinson Crusoe,246340365,None
None,[Missoula ,2009,The amazing adventures of Robinson Crusoe.,768815525,None
None,[Montpelier ,1807,The Life and wonderful adventures of Robinson Crusoe,925491216,None
None,[München] ,1983,Robinson Crusoe : Roman.,643782608,None
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,643180568,None
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,436301572,None
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,436301572,None
None,[München] [Polyband] ,1978,1978 Robinson Crusoe Folge 2,724946125,None
None,[München] [Polyband] ,1978,1978 Robinson Crusoe Folge 1,724946081,None
None,[Nazareth] ,2003,Robinson Crusoe,896872236,None
None,[Nazareth] ,2003,Robinson Crusoe,896872236,None
None,[Nederland] ,1970,Robinson Crusoe,946174874,None
None,[New ,1916,The story of Robinson Crusoe Jr. [a musical extravaganza,67409803,None
None,[New ,1916,The story of Robinson Crusoe Jr. [a musical extravaganza,67409803,None
None,[New Haven] ,1812,The Wonderful life and adventures of Robinson Crusoe : Adorned with cuts.,925548211,None
None,[New Haven] ,1806,The Wonderful life and adventurs [sic] of Robinson Crusoe : Adorned with cuts.,926627480,None
None,[New Haven] ,1805,The Wonderful life and adventnres [sic] of Robinson Crusoe : Adorned with twenty cuts.,926435096,None
None,[New Haven] ,1805,The Wonderful life and adventnres [sic] of Robinson Crusoe : Adorned with twenty cuts.,926435096,None
None,[New Haven] ,1807,"The wonderful life and surprising adventures of that renowned hero, Robinson Crusoe : who lived twenty-eight years on an uninhabited island, which he aftwards colonised.",925486147,None
None,[New Haven] ,1810,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877759,None
None,[New Haven] ,1808,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877769,None
None,[New Haven] ,1812,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949885860,None
None,[New Haven] ,1807,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877750,None
None,[New Haven] ,1807,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877750,None
None,[New Haven] ,1809,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877753,None
None,[New Haven] ,1803,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039367301,None
None,[New Haven] ,1809,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039187906,None
None,[New Haven] ,1808,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039187907,None
